
Host: DFSM

Timers On : Fri Sep 29 08:01:53 2023
Timers Off: Fri Sep 29 08:01:54 2023

Wall Time:        1.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: DFSM

Timers On : Fri Sep 29 11:07:56 2023
Timers Off: Fri Sep 29 11:07:56 2023

Wall Time:        0.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: DFSM

Timers On : Fri Sep 29 11:08:15 2023
Timers Off: Fri Sep 29 11:08:15 2023

Wall Time:        0.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: DFSM

Timers On : Fri Sep 29 11:09:28 2023
Timers Off: Fri Sep 29 11:09:29 2023

Wall Time:        0.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: DFSM

Timers On : Fri Sep 29 11:09:55 2023
Timers Off: Fri Sep 29 11:10:38 2023

Wall Time:       42.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
FISAPT: Dimer SCF                   :     53.350u     98.200s      8.365w      1 calls
JK: (A|mn)                          :      5.650u      0.117s      3.464w      2 calls
JK: (A|Q)^-1/2                      :      3.400u      4.267s      0.803w      2 calls
JK: (Q|mn)                          :      9.400u     12.733s      0.847w      2 calls
HF: Form core H                     :      0.283u      0.600s      0.035w      1 calls
HF: Form S/X                        :      0.150u      0.183s      0.014w      1 calls
HF: Guess                           :      0.633u      1.350s      0.075w      1 calls
SAD Guess                           :      0.600u      1.317s      0.072w      1 calls
HF: Form G                          :     38.867u     81.917s      4.552w     13 calls
JK: D                               :      0.283u      0.600s      0.035w     52 calls
JK: USO2AO                          :      0.017u      0.067s      0.003w     52 calls
JK: JK                              :    213.750u    399.517s     23.157w     52 calls
JK: J                               :     27.683u      4.200s      1.208w     52 calls
JK: J1                              :     13.917u      2.250s      0.612w     69 calls
JK: J2                              :     13.533u      1.833s      0.587w     69 calls
JK: K                               :    185.667u    394.900s     21.918w     52 calls
JK: K1                              :    175.917u    386.817s     21.254w    100 calls
JK: K2                              :      8.817u      6.800s      0.586w     69 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     52 calls
HF: Form F                          :      0.050u      0.083s      0.005w     13 calls
HF: Form D                          :      0.000u      0.100s      0.004w     13 calls
HF: DIIS                            :      0.533u      0.617s      0.044w     12 calls
DIISManager::add_entry              :      0.333u      0.600s      0.034w     30 calls
DIISManager::extrapolate            :      0.317u      0.367s      0.025w     30 calls
bMatrix setup                       :      0.217u      0.150s      0.014w     30 calls
bMatrix pseudoinverse               :      0.000u      0.033s      0.001w     30 calls
New vector                          :      0.100u      0.167s      0.010w     30 calls
HF: Form C                          :      1.617u      2.483s      0.155w     12 calls
FISAPT: Setup                       :     13.367u     14.050s      3.282w      1 calls
FISAPT: Monomer SCF                 :     49.517u     85.817s      5.115w      1 calls
FISAPT: Subsys E                    :      4.850u      6.483s      0.427w      1 calls
FISAPT:SAPT:elst                    :      0.017u      0.033s      0.002w      1 calls
FISAPT:SAPT:exch                    :     13.367u     25.517s      1.466w      1 calls
FISAPT:SAPT:ind                     :    110.883u    209.583s     12.131w      1 calls
FISAPT:FSAPT:loc                    :      0.633u      1.450s      0.080w      1 calls
FISAPT:FSAPT:elst                   :     13.267u     13.233s      3.010w      1 calls
DFH: initialize()                   :      6.533u      3.183s      3.441w      2 calls
DFH: sparsity prep                  :      0.633u      1.700s      0.097w      2 calls
DFH: AO Construction                :      5.250u      0.267s      3.267w      2 calls
DFH: transform()                    :     55.117u     64.400s      4.879w      4 calls
DFH: Total Workflow                 :     48.167u     49.417s      3.703w     52 calls
DFH: Total Transform                :     44.183u     44.250s      3.349w     32 calls
DFH: 1st Contraction                :     29.283u      7.617s      1.397w     12 calls
DFH: 2nd Contraction                :     14.900u     36.633s      1.952w     20 calls
DFH: MO to disk                     :      1.667u      4.083s      0.219w     20 calls
DFH: Direct Contractions            :      9.133u     15.833s      1.291w      4 calls
FISAPT:FSAPT:exch                   :     16.300u     27.633s      1.664w      1 calls
FISAPT:FSAPT:ind                    :     11.950u     16.767s      1.093w      1 calls
FISAPT:FSAPT:disp                   :     30.750u     24.700s      5.657w      1 calls

--------------------------------------------------------------------------------------
FISAPT: Dimer SCF                   :     53.350u     98.200s      8.365w      1 calls
| JK: (A|mn)                        :      2.800u      0.067s      1.720w      1 calls
| JK: (A|Q)^-1/2                    :      1.700u      2.250s      0.402w      1 calls
